,text,created_at,entities,id,public_metrics,context_annotations
2644,@hunterwalk they all are willing to read WSJ.  The British system of stated preferences per publication is perhaps a solution.,2020-07-14T18:46:48.000Z,"{'annotations': [{'start': 41, 'end': 43, 'probability': 0.9618, 'type': 'Organization', 'normalized_text': 'WSJ'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'hunterwalk'}]}",1283110718481600513,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 10, 'quote_count': 0}","[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029237524', 'name': 'The Wall Street Journal'}}]"
2645,"@hunterwalk i had dinner w three moderate friends last night, all voted for Clinton.  All volunteered that they eschew reading NYT tech coverage entirely becuase of the bias.",2020-07-14T18:43:16.000Z,"{'annotations': [{'start': 76, 'end': 82, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'Clinton'}, {'start': 127, 'end': 129, 'probability': 0.9644, 'type': 'Organization', 'normalized_text': 'NYT'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'hunterwalk'}]}",1283109826902581248,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 10, 'quote_count': 6}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '825047692124442624', 'name': 'Food', 'description': 'Food'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1034860760093024257', 'name': 'Meals', 'description': 'Meals'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006277774384828416', 'name': 'Food experience', 'description': 'Conversation about eating'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006588737344507905', 'name': 'Dinner', 'description': 'This entity tracks all conversations that mention dinner.'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040666972', 'name': 'The New York Times'}}]"
2646,@hunterwalk how does that address the bias in the news coverage?,2020-07-14T18:29:56.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'hunterwalk'}]}",1283106473309069313,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 16, 'quote_count': 0}",
2647,RT @Heminator: This is a remarkable document about what's happening at The New York Times. Read every word.,2020-07-14T15:30:28.000Z,"{'annotations': [{'start': 71, 'end': 88, 'probability': 0.7797, 'type': 'Organization', 'normalized_text': 'The New York Times'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'Heminator'}]}",1283061308917768192,"{'retweet_count': 113, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040666972', 'name': 'The New York Times'}}]"
2648,"RT @emilyrauhala: Casually calling criticism of Chinese tech ""xenophobia"" erases Chinese netizens who risked jail time to speak out about t…",2020-07-14T13:27:39.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'emilyrauhala'}]}",1283030400592343042,"{'retweet_count': 371, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
2649,@jacobhelberg @justindross there is no conceivable justifiacation for defining this post as a political ad.,2020-07-14T08:41:18.000Z,"{'mentions': [{'start': 0, 'end': 13, 'username': 'jacobhelberg'}, {'start': 14, 'end': 26, 'username': 'justindross'}]}",1282958335826952192,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",
2650,FYI Twitter is still censoring content critical if China.  No response for 10 days to this ban on an article published in Foreign Policy.  Time to investigate. https://t.co/F4IBOqQ5ZH,2020-07-13T22:23:15.000Z,"{'annotations': [{'start': 4, 'end': 10, 'probability': 0.7215, 'type': 'Organization', 'normalized_text': 'Twitter'}, {'start': 51, 'end': 55, 'probability': 0.9763, 'type': 'Place', 'normalized_text': 'China'}], 'urls': [{'start': 160, 'end': 183, 'url': 'https://t.co/F4IBOqQ5ZH', 'expanded_url': 'https://twitter.com/rabois/status/1282802799609348098/photo/1', 'display_url': 'pic.twitter.com/F4IBOqQ5ZH'}]}",1282802799609348098,"{'retweet_count': 47, 'reply_count': 7, 'like_count': 228, 'quote_count': 1}","[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]"
2651,RT @AGHamilton29: These universities have a serious diversity problem.,2020-07-13T20:52:34.000Z,"{'mentions': [{'start': 3, 'end': 16, 'username': 'AGHamilton29'}]}",1282779978975903745,"{'retweet_count': 219, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596165570560', 'name': 'Education Related'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10047480136', 'name': 'Harvard University', 'description': 'Harvard University'}}]"
2652,@Altimor has he ever achieved anything?,2020-07-13T10:34:21.000Z,"{'mentions': [{'start': 0, 'end': 8, 'username': 'Altimor'}]}",1282624400119025664,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 13, 'quote_count': 0}",
2653,@prestonjbyrne today’s propaganda piece re TikTok.,2020-07-12T14:52:36.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'prestonjbyrne'}]}",1282327003983761409,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 18, 'quote_count': 0}","[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596157181956', 'name': 'Online Site'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1258850496674058240', 'name': 'Tiktok'}}]"
